blast,blastall,blast[pxn],rpsblast,megablast,,,
usearch,usearch,usearch32,usearch6.32,usearch32_[\d\.]+,,,
correctPacBio,correctPacBio,,,,,,
jgi.BBMerge,jgi.BBMerge,,,,,,
jgi.KmerNormalize (ECC),jgi.KmerNormalize (ECC),,,,,,
exonerate,exonerate,,,,,,
muscle,muscle,,,,,,
lastal,lastal,,,,,,
bowtie,bowtie2-align,bowtie2,,,,,
bwa,bwa,bwa-spades,,,,,
blasr,blasr,,,,,,
cross_match,cross_match,,,,,,
blat,blat,,,,,,
gmap,gmap,,,,,,
gsnap,gsnap,,,,,,
align2.BBMapPacBio,align2.BBMapPacBio,,,,,,
align2.BBMap,align2.BBMap,,,,,,
nucmer,nucmer,,,,,,
postnuc,postnuc,,,,,,
mummer,mummer,,,,,,
mgaps,mgaps,,,,,,
vmatch,vmatch,,,,,,
align2.BBWrap,align2.BBWrap,,,,,,
pbdagcon,pbdagcon,,,,,,
meraculous,merauder4.pl,merBlast_\d+mer,mergraphTh_\d+mer,mergraphTh_\d+mer,merCounterTh_\d+mer,merCounterSb.pl,
Ray,Ray,,,,,,
velvet,velvetg.*,velveth.*,,,,,
ABYSS,ABYSS-P,,,,,,
SOAPdenovo,SOAPdenovo-\d+mer,,,,,,
AllPathsLG,AlignReads,ApplyGapPatches,CloseUnipathGaps,LocalizeReadsLG,FindErrors,FixLocal,CommonPather
celera,overlapInCore,utgcns,,,,,
spades,spades,,,,,,
crass,crass,,,,,,
cufflinks,cufflinks,,,,,,
sga,sga,,,,,,
idba_ud,idba_ud,,,,,,
metabat,metabat,,,,,,
align2.BBSplitter,align2.BBSplitter,,,,,,
phylosift,phlyosift,pplacer,,,,,
raxml,raxmlHPC-MPI-SSE3,raxmlHPC-PTHREADS-SSE3,,,,,
FastTree,FastTree,,,,,,
MEGAN,MEGAN,,,,,,
RepeatMasker,RepeatMasker,,,,,,
RepeatScout,RepeatScout,,,,,,
DustMasker,DustMasker,,,,,,
hmmer,hmmsearch,hmmscan,hmmscan3.0,hmmalign,hmmbuild,hmmpfam,
tRNAscan-SE,tRNAscan-SE,,,,,,
ChromHMM,ChromHMM.v[\d\.]+\.jar,,,,,,
bsmap,bsmap,,,,,,
structure,structure,,,,,,
prodigal,prodigal,,,,,,
kmernator,FilterReads,FilterReads-P,,,,,
hammer,hammer,,,,,,
cmsearch,cmsearch,,,,,,
pfscan,pfscan,,,,,,
macs14,macs14,,,,,,
InterProScan4,InterProScan.pl,,,,,,
InterProScan5,interproscan-5.jar,,,,,,
samtools,samtools,,,,,,
duk,duk,,,,,,
fastqTrimmer,fastqTrimmer,,,,,,
cplusmersampler,cplusmersampler,,,,,,
make-consensus,make-consensus,,,,,,
wigToBigWig,wigToBigWig,,,,,,
prenuc,prenuc,,,,,,
bedtools,bedtools,,,,,,
seqret,seqret,,,,,,
wgsim,wgsim,,,,,,
formatdb,formatdb,,,,,,
jgi.BBDukF,jgi.BBDukF,,,,,,
pls2fasta,pls2fasta,,,,,,
bowtie-build,bowtie-build,,,,,,
jgi.KmerNormalize,jgi.KmerNormalize,,,,,,
pls2fasta,pls2fasta,,,,,,
